場館,活動,src,c(主題),c2(形式),c_flag
嘉義文化創意產業園區,▸你容我融‧藝起相信 ➫ 北園國小師生書法花藝融合聯展,official,藝術設計,展覽,
嘉義文化創意產業園區,▸嘉義市文物學會會員古文物收藏馬年特展 ➫ 駿馬春秋,official,其他文化,展覽,
嘉義文化創意產業園區,▸國立嘉義高級中學第34屆美術班畢業展 ➫ 盜夢片鎮,official,藝術設計,展覽,
嘉義文化創意產業園區,▸嘉義市115年度國民中小學美術班聯合作品展 ➫ 欲買桂花同載酒,official,藝術設計,展覽,
嘉義文化創意產業園區,▸嘉義市象外水墨研究會 ➫ 2026會員聯展,official,其他文化,展覽,
嘉義文化創意產業園區,▸與仙仙相遇 ➫ 鑲嵌玻璃個展延展至元宵節,official,其他文化,展覽,
嘉義文化創意產業園區,▸與仙仙相遇 ➫ 鑲嵌玻璃個展,official,其他文化,展覽,
嘉義文化創意產業園區,▸2026 開心馬場 特展 ➫ Run into a Good year,official,其他文化,展覽,
嘉義文化創意產業園區,▸開心馬場 《特展》➫ 2026 Run into a Good year,official,其他文化,展覽,
嘉義文化創意產業園區,▸OpenLab 沉浸式投影展 ➫ 科技與藝術的交會點,official,其他文化,展覽,
嘉義文化創意產業園區,▸今年9月跟著9編展開一段 ➫ 來自草原與高原的文化旅程,official,其他文化,展覽,
嘉義文化創意產業園區,▸桑拜努 Сайн байна уу 扎西德勒 བཀྲ་ཤིས་བདེ་ལེགས། 蒙藏文物展 × 月圓圓，事圓圓；吉祥鹿賞月。,official,其他文化,展覽,
嘉義文化創意產業園區,▸桑拜努 Сайн байна уу 扎西德勒 བཀྲ་ཤིས་བདེ་ལེགས། 蒙藏文物展 × 頌缽療癒體驗課程,official,其他文化,展覽,
嘉義文化創意產業園區,▸WOW ! 有展覽有電影觀賞 ➫ 竟然還有藏舞演出,official,其他文化,展覽,
嘉義文化創意產業園區,▸展覽倒數開展中 ➫ 桑拜努 Сайн байна уу扎西德勒 བཀྲ་ཤིས་བདེ་ལེགས། 蒙藏文物展,official,其他文化,展覽,
嘉義文化創意產業園區,▸桑拜努 Сайн байна уу扎西德勒 བཀྲ་ཤིས་བདེ་ལེགས། 蒙藏文物展 ➫ 認識藏族的日常生活,official,其他文化,展覽,
嘉義文化創意產業園區,▸桑拜努 Сайн байна уу扎西德勒 བཀྲ་ཤིས་བདེ་ལེགས། 蒙藏文物展 ➫ 認識蒙古族的日常生活,official,其他文化,展覽,
嘉義文化創意產業園區,▸桑拜努 Сайн байна уу扎西德勒 བཀྲ་ཤིས་བདེ་ལེགས། 蒙藏文物展,official,其他文化,展覽,
嘉義文化創意產業園區,▸尹信方創作展 ➫ 夢的翅膀,official,其他文化,展覽,
嘉義文化創意產業園區,▸張秀凰創作展 ➫ 蜜色呼吸 — 在顏料裡種一株會開花的糖,official,其他文化,展覽,
嘉義文化創意產業園區,▸尹信方 Yin Hsin-Fang ➫ 藝術飛越仲夏夜・巴黎展出,official,其他文化,展覽,
嘉義文化創意產業園區,▸邱科澄 展覽預告 ➫ 現實與幻想的交會點,official,其他文化,展覽,
嘉義文化創意產業園區,▸尹信方創作展 ➫ 大地的形與詩,official,其他文化,展覽,
嘉義文化創意產業園區,▸「解癮-解開毒品上癮的真相」➫ 反毒教育特展,official,其他文化,展覽,
嘉義文化創意產業園區,▸尹信方創作個展 ➫ 尋名造境 —自我察覺的歷程,official,其他文化,展覽,
嘉義文化創意產業園區,▸邱科澄個展 ➫ 神遊榖倉,official,其他文化,展覽,
嘉義文化創意產業園區,▸有事青年節主題展 emo人生 ➫,official,其他文化,展覽,
嘉義文化創意產業園區,▸有事青年節主題展 emo人生 ➫ 展覽驚喜亮點,official,其他文化,展覽,
嘉義文化創意產業園區,▸有事青年節主題展 emo人生 ➫ 六大參展團隊一次公開！,official,其他文化,展覽,
嘉義文化創意產業園區,▸ 享受吧 ➫ 與自己和解的失序旅程主題展覽,official,其他文化,展覽,
嘉義文化創意產業園區,▸第四屆有事青年節主題展 ➫ emo人生,official,其他文化,展覽,
花蓮文化創意產業園區,5/30-6/7 國立東華大學藝術與設計學系115級畢業展《PON》,official,藝術設計,展覽,
花蓮文化創意產業園區,3/27-5/23【解癮-解開毒品上癮的真相】2026反毒教育特展,official,其他文化,展覽,
花蓮文化創意產業園區,2/27-4/12《阿嬤的夢中情人》個展,official,其他文化,展覽,
花蓮文化創意產業園區,1/30-4/19【等待靈魂(五)李宏彬師生聯展】陶藝繪畫創作展,official,藝術設計,展覽,
花蓮文化創意產業園區,1/24-3/22 【世界無字書大獎展】,official,其他文化,展覽,
花蓮文化創意產業園區,5/30-7/13 當代轉．動—北區原文館聯合策展行動2.0聯展,official,其他文化,展覽,
花蓮文化創意產業園區,3/25-5/11【等待靈魂(四)李宏彬師生聯展】陶藝繪畫創作展,official,藝術設計,展覽,
花蓮文化創意產業園區,「花蓮流行音樂AI實驗基地」音樂人與AI共譜樂章 展現具臺灣在地特色的A...,official,其他文化,展覽,
花蓮文化創意產業園區,9/28-9/29 侏儸紀恐龍親子教育展,official,其他文化,展覽,
花蓮文化創意產業園區,5/21-5/26 久即日常-國立東華大學樂藝學程109級畢業製作聯合展出,official,其他文化,展覽,
花蓮文化創意產業園區,9月30日-10月12日 數學有感——動手玩的數學巡迴展,official,其他文化,展覽,
花蓮文化創意產業園區,3月24日-3月31日「2022花蓮社工日『陶』氣社工，溫暖你我的心」 陶藝作品成果展暨...,official,藝術設計,展覽,
花蓮文化創意產業園區,3月19日《茶金》戲劇經典場景特展系列活動9—《茶金歲月：來聽北埔姜阿新洋樓的故事》,official,其他文化,展覽,
花蓮文化創意產業園區,12月12日《茶金》戲劇經典場景特展系列活動6—《茶金》演員見面會及導覽：許安植,official,其他文化,展覽,
花蓮文化創意產業園區,12月26日《茶金》戲劇經典場景特展系列活動8—體驗《茶金》的職人魂—茶葉光譜的五感體驗,official,其他文化,展覽,
花蓮文化創意產業園區,12月5日《茶金》戲劇經典場景特展系列活動4—《茶金》演員見面會及導覽：郭子乾,official,其他文化,展覽,
花蓮文化創意產業園區,11月21日《茶金》戲劇經典場景特展系列活動2—《茶金》製作幕後甘苦談,official,其他文化,展覽,
花蓮文化創意產業園區,1月30日至3月30日「謐・境」藝術聯展,official,其他文化,展覽,
花蓮文化創意產業園區,09月27日至11月22日起花東多元音樂交流展演,official,其他文化,展覽,
松山文創園區,Knock、Knock－T School 第三屆成果展,official,其他文化,展覽,
松山文創園區,逐光夜航：空服員工會紀念特展,official,其他文化,展覽,
松山文創園區,永續好日子 3.0,official,其他文化,其他,
松山文創園區,《消失的法老》,official,其他文化,其他,
松山文創園區,100Y 山林有時：＿＿＿,official,其他文化,其他,
松山文創園區,Studio Smoll《讀塑繹革》,official,其他文化,其他,
松山文創園區,2026 TDM 兒童設計夏令營：設計躲貓貓《設計探險家》,official,藝術設計,其他,
松山文創園區,愛麗絲夢遊仙境:兔子洞的秘密｜沈浸式互動故事特展,official,其他文化,展覽,
松山文創園區,聚 · 空間 | 2026 年 iF 設計獎獲獎作品展 (II),official,藝術設計,展覽,
松山文創園區,NishimuraYuji's shop! in TAIWAN 台北松菸快閃店,official,其他文化,快閃店,
松山文創園區,映入日常的微光：校園心理支持空間的設計實踐,official,藝術設計,其他,
松山文創園區,Green Gather 綠集,official,其他文化,其他,
松山文創園區,阿朗基 35 週年紀念「我們愛台灣」快閃店,official,其他文化,快閃店,
松山文創園區,pickles the frog 萌蛙匹克 台北松菸快閃店,official,其他文化,快閃店,
松山文創園區,十年的小星球 – 恩宇的創作宇宙繪畫展,official,藝術設計,展覽,
松山文創園區,伊藤潤二展「誘惑」,official,其他文化,展覽,
松山文創園區,【櫻桃小丸子原作 40 週年】特展,official,其他文化,展覽,
華山1914文化創意產業園區,元氣隨Q隨到！【白蘭氏養蔘元氣凍】Q彈快閃體驗,official,其他文化,快閃店,
華山1914文化創意產業園區,＼勸世祭／三姊妹卡關人生轉運站,official,其他文化,其他,
華山1914文化創意產業園區,牧神的午後 | L'Après-midi d’un faune,official,其他文化,其他,
華山1914文化創意產業園區,樂園星球PLANET PARK-全境式互動樂園,official,其他文化,其他,
華山1914文化創意產業園區,小梅的奇幻冒險：尋回心意之書,official,其他文化,其他,
華山1914文化創意產業園區,林源美百年香鋪-華山限定香氣展,official,其他文化,展覽,
華山1914文化創意產業園區,《你的城市我的家--城市鳥巢展》,official,其他文化,展覽,
華山1914文化創意產業園區,跟田馥甄一起輕盈乾杯,official,其他文化,其他,
華山1914文化創意產業園區,寶島好物福利社-台灣文創柑仔店,official,其他文化,其他,
華山1914文化創意產業園區,29放光 • 慈濟60 慈濟人文特展,official,其他文化,展覽,
華山1914文化創意產業園區,全知讀者視角POP-up store,official,其他文化,快閃店,
華山1914文化創意產業園區,2026電影人才培訓計畫,official,其他文化,其他,
華山1914文化創意產業園區,June30th Gelato 六月三十義式手工冰淇淋,official,其他文化,其他,
華山1914文化創意產業園區,一之鄉 期間限定快閃店,official,其他文化,快閃店,
國立故宮博物院,移至 《龍藏經》：皇權・信仰・藝術的盛世交響 (I) (II),official,其他文化,體驗活動,
國立故宮博物院,移至 真假乾隆－清高宗的御筆與代筆,official,其他文化,其他,
國立故宮博物院,移至 神獸再現 — 文物中的奇幻生物 (I) (II),official,其他文化,其他,
國立故宮博物院,移至 看得見的紅樓夢,official,其他文化,其他,
國立故宮博物院,移至 祀與戎：古代兵器攻略,official,其他文化,其他,
國立故宮博物院,移至 愛硯成痴特展,official,其他文化,展覽,
國立故宮博物院,移至 華麗魔法屋─故宮的洛可可珍藏,official,其他文化,其他,
國立故宮博物院,移至 經典之美—新媒體藝術展,official,其他文化,展覽,
國立故宮博物院,移至 兒童學藝中心,official,其他文化,其他,
國立故宮博物院,移至 貴冑榮華─清代宮廷的日常風景,official,其他文化,其他,
國立故宮博物院,移至 南北故宮 國寶薈萃,official,其他文化,其他,
國立臺灣美術館,無限副本與瞄準器,official,藝術設計,其他,
國立臺灣美術館,時代印記：國美典藏常設展,official,藝術設計,展覽,
國立臺灣美術館,「115年全國美術展」,official,藝術設計,展覽,
國立臺灣美術館,「中華民國第二十二屆國際版畫雙年展」,official,藝術設計,展覽,
國立臺灣美術館,破土：臺灣當代原住民藝術與行動主義,official,藝術設計,其他,
國立臺灣美術館,藝術品修護任務：尋找消逝的色彩-線上展覽,official,藝術設計,展覽,
國立臺灣美術館,「24/7：：：創作中的反覆與堆疊」,official,藝術設計,其他,
國立臺灣美術館,林玉山臺灣寫生地圖與足跡-線上互動展,official,藝術設計,展覽,
國立臺灣美術館,｢國美典藏數位博物館：我腦海中的地方，會真的存在」,official,藝術設計,其他,
高雄市駁二藝術特區,還是先躺一下再說？ Lay Down,official,其他文化,其他,
高雄市駁二藝術特區,漫畫便當店 COMIC BENTO,official,ACG,其他,
高雄市駁二藝術特區,彩虹地景,official,其他文化,其他,
高雄市駁二藝術特區,好想兔10週年特展,official,其他文化,展覽,
高雄市駁二藝術特區,Baby Shark 守護海洋大冒險,official,其他文化,其他,
高雄市駁二藝術特區,世界古文明 沉浸體驗展 高雄站,official,其他文化,展覽,
高雄市駁二藝術特區,nagano market POP UP SHOP,official,其他文化,快閃店,
高雄市駁二藝術特區,布丁狗30週年快閃店,official,ACG,快閃店,
臺中市纖維工藝博物館,Mar’iang! 針線對話 --臺灣南部平埔原住民族十字繡文化展,official,藝術設計,展覽,
臺中市纖維工藝博物館,金馬迎春-編織文物微型展,official,藝術設計,展覽,
臺中市纖維工藝博物館,「X」無字天書-貴州苗族十字繡文化微型展,official,藝術設計,展覽,
臺中市纖維工藝博物館,智慧與海洋-達悟族織物文化微型展,official,藝術設計,展覽,
臺中市纖維工藝博物館,草帽王國微型展,official,藝術設計,展覽,
臺中市纖維工藝博物館,展覽簡介 大里運動公園與纖維工藝博物館周邊，隱藏著豐富多樣的植物色彩。本次展覽以「植物踏...,official,藝術設計,展覽,
臺中市纖維工藝博物館,2025 年 12 月起，纖維工藝博物館推出「百大文化基地索引展」，邀請民眾走進展場，認識...,official,藝術設計,展覽,
蕭壠文化園區,《愛呀！我的媽》,official,其他文化,其他,
蕭壠文化園區,Fragmented Memories_ The Transient Landscape,official,其他文化,其他,
蕭壠文化園區,"《The Light of Wind, Salt, and Sea》",official,其他文化,其他,
蕭壠文化園區,2026 New York – Tainan Artistic Dialogues: Underneath the Sweetest Son,official,其他文化,其他,
蕭壠文化園區,✦──2026──✦✦ AIR in Tainan ✦✦ ✦蕭壠國際藝術村✦───✦國際藝術進駐計畫✦ ✦ International Ar,official,其他文化,其他,
蕭壠文化園區,"Where We Are: Flowing, Falling",official,其他文化,其他,
臺南市美術館,風景慢慢長出來｜臺南市美術館志工社團成果展Slowly Growing Landscapes: Art Exhibition of the ,official,藝術設計,展覽,
臺南市美術館,隨波逐潮：流動的跨文化海洋敘事Flowing with the Waves: Intercultural Sea Stories in Mo,official,藝術設計,其他,
臺南市美術館,黏膩關係：內餡 // 縫隙 Sticky Relationships: Filling // Fissures,official,ACG,其他,
臺南市美術館,雙城計：臺南 × 熊本臺灣當代藝術接力展 Twin Cities Project: Tainan × Kumamoto Taiwan Con,official,藝術設計,展覽,
臺南市美術館,梅澤捨次郎—檔案中的生命軌跡 Umezawa Sutejirou-Echoes in the Archive,official,藝術設計,其他,
新北市美術館,「擺渡：回望民間」新美典藏展,official,藝術設計,展覽,
新北市美術館,發生什麼事？,official,藝術設計,其他,
新北市美術館,托馬斯．薩拉切諾：共織宇宙,official,藝術設計,其他,
新北市美術館,大廳計畫｜在變動之中生成：演算法的藝術（2026）,official,藝術設計,其他,
新北市美術館,廊道計畫：衍生物（2026）,official,藝術設計,其他,
國立傳統藝術中心宜蘭園區,歌仔戲特展,official,其他文化,展覽,
國立傳統藝術中心宜蘭園區,舉人之力：蘭陽首舉百宅第常設展,official,其他文化,展覽,
國立傳統藝術中心宜蘭園區,《拾光成織∣美麗人間》工藝特展,official,藝術設計,展覽,
國立傳統藝術中心宜蘭園區,百藝風華・文昌之道,official,其他文化,其他,
圓山花博,台北樂器暨專業影音系統大展,official,其他文化,展覽,
圓山花博,好婚市集-愛情入住中,official,其他文化,體驗活動,
圓山花博,MONSTER STRIKE DREAMDA...,official,其他文化,其他,
圓山花博,台灣兩棲爬蟲特寵新紀元,official,其他文化,其他,
第1、2展覽廳,飛-台日韓藝術交流展,,其他文化,展覽,
第1、2展覽廳,形色五韻：筆境交融的視覺詩意,,其他文化,其他,
第1、2展覽廳,科技藝想樂園,,其他文化,其他,
采泥藝術事業股份有限公司,形相之外：虛實共生,official,其他文化,其他,
采泥藝術事業股份有限公司,吟遊時空 — 霍剛・權純益,official,其他文化,其他,
采泥藝術事業股份有限公司,風中吟遊——李光裕．鄧卜君雙個展,official,其他文化,展覽,
國立自然科學博物館,科博館《奇幻自然》常設展,,其他文化,展覽,
國立自然科學博物館,科博館《大地瑰寶》礦物常設展,,其他文化,展覽,
臺中市港區藝術中心,仙火、金青、柴之道「金銀彩x青瓷－仙水窯柴燒陶藝展」,official,藝術設計,展覽,
臺中市港區藝術中心,地點：展覽室A。 ★文創品販售：自動開關摺疊傘 ( 限量100支，特惠399元 ),official,其他文化,展覽,
索卡藝術 台北空間,《 定格 ・ 之後 》,official,其他文化,其他,
索卡藝術 台北空間,严一能：止步,official,其他文化,其他,
人類文化廳,科博館《古代人說故事》南屯山仔腳遺址出土的鐵刀首亮相!,,其他文化,其他,
苗栗工藝產業研發分館,西方浪漫．臺灣製造—70年代臺灣瓷偶產業的故事,,藝術設計,其他,
未具名場地,《定格微光》線上攝影展,,藝術設計,展覽,
奇美博物館,窺探奇美典藏：從名畫探索色彩奧秘,official,其他文化,其他,
臺中市猿緣園藝術館,臺中市藝術亮點-《詩情生命．柔情對話》周玉枝畫展,,藝術設計,展覽,
立法院 文化走廊,積吶虹光｜虹心球(RHS)光譜中的我們,,其他文化,其他,
"角落裡的慢時區 A Corner, A World","角落裡的慢時區 A Corner, A World",,其他文化,其他,
國家攝影文化中心,「黯像：看見不見」展覽-無視之覺,,藝術設計,展覽,
金車文藝中心 臺北南京館,楊芝涵 創作個展【環繞：未定的所在】,,其他文化,展覽,
苗北藝文中心藝廊,《微微震動的小情小愛──張峻碩數位感手繪展》,,其他文化,展覽,
加沃文行 +wò Cultural Practice,未完的軌跡 Unfinished Trajectories,,其他文化,其他,
國立臺灣博物館,常設展廳（展品以官網為準）,,其他文化,展覽,
文化部文化資產園區,園區展覽與活動（詳見官網）,,其他文化,展覽,
高雄市立美術館,常設展廳（展品以官網為準）,,藝術設計,展覽,
台北當代藝術館,常設展廳（展品以官網為準）,,其他文化,展覽,
鳳甲美術館,常設展廳（展品以官網為準）,,藝術設計,展覽,
新竹市美術館,百合——直到觸及我們的情感象限,official,藝術設計,其他,
臺灣當代文化實驗場 C-LAB,我們正成為 WE Are Becoming,official,其他文化,其他,
臺北市立美術館,常設展廳（展品以官網為準）,official,藝術設計,展覽,
北師美術館 MoNTUE,常設展廳（展品以官網為準）,official,藝術設計,展覽,
關渡美術館,大圖書館員—龍顏藝術創作獎二十年,official,藝術設計,其他,
索卡藝術 台南空間,低語的形體 Forms of Whisper,official,其他文化,其他,
CACO cafe 台中漢神店,CACO CAFE X 布丁狗,manual,ACG,主題餐廳,
CACO cafe 台南南紡店,CACO CAFE X 布丁狗,manual,ACG,主題餐廳,
CACO cafe 台南小西門,CACO CAFE X 布丁狗,manual,ACG,主題餐廳,
CACO cafe 高雄夢時代店,CACO CAFE X 布丁狗,manual,ACG,主題餐廳,
LaLaport 台中 café stand,名偵探柯南 高速公路的墮天使 x MyAnime Café,manual,ACG,主題餐廳,
LaLaport 台中北館1F,名偵探柯南 高速公路的墮天使 快閃店,manual,ACG,快閃店,
MITSUI OUTLET PARK 林口I館室內棟1F 六角廣場,名偵探柯南 高速公路的墮天使 快閃店,manual,ACG,快閃店,
MyAnime Café 三創店（台北）,名偵探柯南 高速公路的墮天使 x MyAnime Café,manual,ACG,主題餐廳,
MyAnime Café 高雄店（統一時代百貨B1）,名偵探柯南 高速公路的墮天使 x MyAnime Café,manual,ACG,主題餐廳,
object taipei store,《Marshville Quokscout》,manual,ACG,其他,
三創生活園區1F 十二立方,《孤獨搖滾！》快閃店,manual,ACG,快閃店,
中友百貨,孤獨搖滾！動畫展（台中場）,manual,ACG,展覽,
台中中友百貨B棟13樓,名偵探柯南 高速公路的墮天使 快閃店,manual,ACG,快閃店,
台中市,台中市 × 史努比交通安全推廣合作,manual,ACG,其他,
台中驛鐵道文化園區 鐵鹿大街,花茶舞會,manual,ACG,其他,
台北三創生活園區,九井諒子展 及 《迷宮飯》迷宮探索展 台灣站,manual,ACG,展覽,
台北和平籃球館（台北戰神主場）,臺北戰神 × 麵包超人 聯名套票,manual,ACG,其他,
台東,吉伊卡哇-2026 臺灣國際熱氣球嘉年華,manual,ACG,體驗活動,
夢時代購物中心Ｘ野獸國,ANI-FEST期間限定店,manual,ACG,快閃店,
屏東縣民公園,蠟筆小新玩轉時空大冒險,manual,ACG,其他,
微風廣場 Breeze MEGA Studio 8F C廳 & 9F D廳 藝文中心,San-X 90週年紀念展in台灣,manual,ACG,展覽,
新光三越台中中港店10F天空劇場,Ani-One 玩轉動漫遊‧台中場,manual,ACG,其他,
新光三越台北信義新天地A8館5樓,名偵探柯南 高速公路的墮天使 快閃店,manual,ACG,快閃店,
新光三越台北南西店 一館 9F 活動會館,JOJO CARAVAN 飆馬野郎複製原畫展,manual,ACG,展覽,
新光三越高雄左營店 10F,Hello Kitty展 高雄站,manual,ACG,展覽,
新莊棒球場,進擊的巨人 × 富邦棒球主題日,manual,ACG,體驗活動,
淡江大橋,淡江航海趣(航海王 X 淡江大橋),manual,ACG,其他,
澎湖,2026 澎湖花火節 × 七龍珠Z,manual,ACG,體驗活動,
草帽海賊大遊行路線：海邊路與成功二路交叉口（起點）→ 高雄港16號碼頭（終點）,草帽海賊大遊行,manual,ACG,其他,
華山1914文創園區 中4A館,Chiikawa Baby POP UP SHOP(第二次),manual,ACG,快閃店,
華山1914文創園區 東2館四連棟,CHIIKAWA DAYS 台北特展,manual,ACG,展覽,
遠雄海洋公園,進擊的巨人 × 遠雄海洋公園,manual,ACG,其他,
駁二藝術特區,《凡爾賽玫瑰》快閃空間,manual,ACG,快閃店,
高雄夢時代購物中心 1F,名偵探柯南 高速公路的墮天使 快閃店,manual,ACG,快閃店,
高雄駅一番街・北站 高雄捷運高雄車站B2,藥師少女的獨語展,manual,ACG,展覽,
早點出發 / EATWITHGO,早點出發 / EATWITHGO / 日式喫茶店 / 貝果專賣 / 神奇寶貝同好交流,manual,ACG,其他,
南港-LaLaport(玩具總動員快閃),CACO 玩具總動員快閃,caco,ACG,快閃店,
台南西門新天地快閃(玩具總動員快閃),CACO 玩具總動員快閃,caco,ACG,快閃店,
高雄-夢時代快閃店(玩具總動員快閃),CACO 玩具總動員快閃,caco,ACG,快閃店,
凱岩咖啡 - 永康店,賽爾號 x 凱岩主題餐廳,cayenne,ACG,主題餐廳,
凱岩咖啡 - 忠孝店,怪物彈珠 × 凱岩主題餐廳,cayenne,ACG,主題餐廳,
